   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd        
26  fft_cz1300ms rrf       200  30   10       0.010   0.9239545 0.5074701 0.005516943
27  fft_cz1300ms rrf       200  30   10       0.050   0.9211388 0.5137088 0.016598114
28  fft_cz1300ms rrf       200  30   10       0.100   0.9232289 0.5191562 0.009698010
29  fft_cz1300ms rrf       200  30   20       0.001   0.8652125 0.5068758 0.003695052
30  fft_cz1300ms rrf       200  30   20       0.010   0.8591974 0.5141229 0.010963019
31  fft_cz1300ms rrf       200  30   20       0.050   0.8610999 0.5174521 0.014515656
32  fft_cz1300ms rrf       200  30   20       0.100   0.8608256 0.5180139 0.016304074
33  fft_cz1300ms rrf       200  70    1       0.001   1.0000000 0.5167793 0.011640873
34  fft_cz1300ms rrf       200  70    1       0.010   1.0000000 0.5120810 0.016870144
35  fft_cz1300ms rrf       200  70    1       0.050   1.0000000 0.5104650 0.014390136
36  fft_cz1300ms rrf       200  70    1       0.100   1.0000000 0.5070779 0.008475780
37  fft_cz1300ms rrf       200  70    5       0.001   0.9722972 0.5204466 0.009100858
38  fft_cz1300ms rrf       200  70    5       0.010   0.9721692 0.5064438 0.011932118
39  fft_cz1300ms rrf       200  70    5       0.050   0.9722787 0.5158526 0.012472414
40  fft_cz1300ms rrf       200  70    5       0.100   0.9715393 0.5112447 0.021655333
41  fft_cz1300ms rrf       200  70   10       0.001   0.9219640 0.5196225 0.019113021
42  fft_cz1300ms rrf       200  70   10       0.010   0.9255354 0.5069230 0.015700060
43  fft_cz1300ms rrf       200  70   10       0.050   0.9235824 0.5255618 0.013769921
44  fft_cz1300ms rrf       200  70   10       0.100   0.9206554 0.5126096 0.018396280
45  fft_cz1300ms rrf       200  70   20       0.001   0.8636903 0.5199603 0.010124639
46  fft_cz1300ms rrf       200  70   20       0.010   0.8640820 0.5137578 0.008685299
47  fft_cz1300ms rrf       200  70   20       0.050   0.8627776 0.5191393 0.016081427
48  fft_cz1300ms rrf       200  70   20       0.100   0.8613987 0.5132370 0.020883168
49  fft_cz1300ms rrf       500  10    1       0.001   1.0000000 0.5028256 0.003274134
50  fft_cz1300ms rrf       500  10    1       0.010   1.0000000 0.5021414 0.015808076
51  fft_cz1300ms rrf       500  10    1       0.050   1.0000000 0.5119667 0.007701591
52  fft_cz1300ms rrf       500  10    1       0.100   1.0000000 0.5156726 0.008620509
53  fft_cz1300ms rrf       500  10    5       0.001   0.9732039 0.5143758 0.008241702
54  fft_cz1300ms rrf       500  10    5       0.010   0.9729285 0.5057262 0.006894126
55  fft_cz1300ms rrf       500  10    5       0.050   0.9740370 0.5199277 0.013059889
56  fft_cz1300ms rrf       500  10    5       0.100   0.9727020 0.5153035 0.009041445
